"type","type_name","name","date","research_id"
2,"Articulo cientifico","Zonificacion y ordenamiento ambiental de los terrenos de la UNAS - Tingo Maria","2002-05-07",62
2,"Articulo cientifico","Estudio de densidades de siembra en el rendimiento del Ajì (Capsicum Annum L). Tingo Maria","2002-05-07",65
2,"Articulo cientifico","Estudio de densidades de siembra en el rendimiento del Ajì (Capsicum Annum L). Tingo Maria","2002-05-07",65
2,"Articulo cientifico","Zonificacion y ordenamiento ambiental de los terrenos de la UNAS - Tingo Maria","2002-05-07",62
NULL,NULL,"Analisis de gestion de recursos humanos en la UNAS.","2002-05-01",266
NULL,NULL,"Evaluacion del frijol comun (Phaseolus vulgaris L.) variedad chaucha en diferentes fases de la Luna en los mese de Junio y Julio en Tingo Maria.","2002-05-01",1237
NULL,NULL,"Efecto del aceite vegetal en mezcla con el Asulox 40 en el control de malezas monocotiledoneas en el cultivo de caña de azucar, Cartavio - Trujillo.","2002-04-24",3243
NULL,NULL,"Evaluacion de diez variedades experimentales de maiz amarillo duro tropical (Zea mays L.) en condiciones de secano en la estacion experimental ""El Porvenir"" Bajo Mayo, San Martin.","2002-04-24",3241
1,"Tesis","Evaluacion fenologica de cinco (5) ecotipos de Cocona (Solanum topiro HBK.) en la zona de Tingo Maria.","2002-04-24",1204
NULL,NULL,"Fertilizacion nitrogenado - potasica en el rendimiento del cultivo de te (Camellia sinensis L.).","2002-04-24",3242
1,"Tesis","Evaluacion del potencial del rendimiento en clones de cacao (Theobroma cacao L.) de distintos origenes en Tingo Maria.","2002-04-24",1228
NULL,NULL,"Induccion e injertacion de brotes ortotropicos con fines de renovacion en el cacaotero (Theobroma cacao L.) en Tingo Maria.","2002-04-24",3249
NULL,NULL,"Rendimiento y fenologia del cultivo de mani (Arachis hypogaea L.) en las cuatro fases de la luna.","2002-04-24",3244
NULL,NULL,"Comportamiento de cinco hibridos y una variedad de maiz (Zea mays L.) bajo un sistema de labranza minima en Tulumayo.","2002-04-24",3250
NULL,NULL,"Efecto de dos reguladores de crecimiento en fase de enraizamiento in vitro de la piña (Ananas comosus L.) Var. ""cayena lisa"".","2002-04-24",3248
NULL,NULL,"Rendimiento de tres clones de camote (Ipomoea batatas L.) en cuatro niveles de fertilizacion nitrogenada en Tulumayo.","2002-04-24",3247
NULL,NULL,"Fraccionamiento de la fertilizacion nitrogenada en la produccion de maiz amarillo duro (Zea mays L.) Marginal 28-T.","2002-04-24",3252
NULL,NULL,"Efecto de la roca fosforica y gallinaza en el crecimiento del cultivo de cafe (Coffea arabica L.) variedad ""catimor"", en Tingo Maria.","2002-04-24",3251
NULL,NULL,"Caracterizacion de tres ecotipos de papayo de altura (carica stipulata) en Tingo Maria.","2002-04-21",111
NULL,NULL,"Frecuencia de Totavirus y adhesinas frimbriales de escherichia coli an alpacas recien nacidas con diarrea.","2002-04-20",898
NULL,NULL,"Causas que imposibilitan la interaccion de la proyeccion universitaria de la UNAS con las actividades de los clubes de madres de la provincia de Leoncio Prado.","2002-04-08",1335
NULL,NULL,"Evaluacion de tecnologias en sistemas de produccion pecuario con componente vacuno en el distrito de Rupa Rupa.","2002-04-04",897
1,"Tesis","Comportamiento fenologico por efecto de poda en diferentes fases lunares del Croton draconoides Muell Arg. Sangre de grado.","2002-04-04",2451
NULL,NULL,"Impactos e indicadores ambientales en la ciudad de Tingo Maria.","2002-04-02",1071
NULL,NULL,"Determinar concentraciones de las clorofilas a, b y total en tres especies vegetales de crecimiento a pleno sol y en sombra.","2002-04-01",117
2,"Articulo cientifico","La coca y su erradicacion en el Alto Huallaga.","2002-03-20",233
NULL,NULL,"Analisis del componente pecuario dentro de los sistemas de produccion en la provincia de Tocache - Departamento de San Martin.","2002-03-20",947
2,"Articulo cientifico","Factores que propician las infracciones laborales en la UNAS.","2002-03-20",16
NULL,NULL,"Uso del propoleo como desinfectante, fungicida, antiflamatorio, en modelo animal para cicatrizacion en lesiones cutaneas.","2002-03-04",899
NULL,NULL,"Monitoreo de riego con fines de conservacion de recurso agua y suelo en el cultivo de Pimiento(Capsicum Annum)","2002-03-01",1334
NULL,NULL,"Comportamiento del agua subterranea en la ciudad de Aucayacu","2002-03-01",116
2,"Articulo cientifico","Evaluacion fenologica de cinco (5) ecotipos de Cocona (Solanum topiro HBK.) en la zona de Tingo Maria.","2002-02-21",1204
NULL,NULL,"Obtencion de fruta confitada a partir del chayote (Sechium edule L.) por el metodo del proceso lento.","2002-02-02",3779
1,"Tesis","Determinacion del periodo optimo de almacenamiento de semillas de Uncaria tomentosa (Willdenow ex Romero & Schultes) D.C ""Uña de gato"" a diferntes temperaturas y humedad.","2002-01-25",1588
1,"Tesis","Inventario y analisis de pozos de agua subterranea en Castillo Grande y Brisas del Huallaga - Tingo Maria.","2002-01-25",2614
1,"Tesis","Evaluacion de siembra directa de caoba (Swietenia macrophylla G. King) en un bosque primario en Tingo Maria.","2002-01-25",2455
1,"Tesis","Inventario forestal exploratorio en cinco comunidades Ashaninka - Atalaya.","2002-01-25",2452
1,"Tesis","Determinacion de la altura de poda y evaluacion de nuevos rebrotes en Uncaria tomentosa (Willdenow ex Roemer & Schultes) D.C.","2002-01-25",2456
1,"Tesis","Implicancia de los procedimientos aplicados en los dictamenes periciales contables y su efecto en la administracion de justicia.","2002-01-18",1304
1,"Tesis","Incidencia de la auditoria ambientales en las microempresas industriales de Tingo Maria.","2002-01-18",2944
NULL,NULL,"Respuesta a moniliasis (Moniliopthora roreri Cif. & Par., Evans et al.) en algunos clones de cacao (Theobroma cacao L.), coleccion Huallaga y Ucayali en Tingo Maria.","2002-01-08",3271
NULL,NULL,"Efecto de seis herbicidas para el control de malezas en el cultivo de arroz (Oryza sativa L.) variedad ""capirona"" bajo riego en Tingo Maria.","2002-01-08",3267
NULL,NULL,"Un sistema de ecuaciones en el estudio del principio de exclucion competitiva en biologia de poblaciones.","2002-01-08",724
NULL,NULL,"Comparativo de siete variedades de palto (), sobre patron criollo a nivel de vivero en Tingo Maria.","2002-01-08",3237
NULL,NULL,"Caracterizacion y desarrollo de una estrategia para el aprovechamiento de los recursos eco turisticos - provincia de Leoncio Prado.","2002-01-06",323
NULL,NULL,"Reutilizacion de residuos solidos domesticos biodegradables en la producion de Compost.","2002-01-02",1070
NULL,NULL,"Control biologico de Sclerotium rolfsii en Frijol (Phaseolus vulgaris L) var. Chaucha con Trichoderma spp.","2002-01-01",211
2,"Articulo cientifico","Comportamiento financiero de las Empresas Comerciales de Tingo Maria.","2001-12-28",346
NULL,NULL,"Analisis quimico proximal de madera de la zona de Tingo Maria.","2001-12-21",3867
NULL,NULL,"Modelo de ecuacion diferencial para el diagnostico de la diabetes mediante la determinacion de la concentracion de glucosa en la sangre.","2001-12-21",3536
NULL,NULL,"Determinacion de Salmonella spp. en alimentos preparados que se expenden en el mercado de abastos de la ciudad de Tingo Maria.","2001-12-20",3480
2,"Articulo cientifico","Texto: Quimica organica","2001-12-20",432
NULL,NULL,"Un modelo matematico para el diagnostico de diabetes.","2001-12-20",3483
2,"Articulo cientifico","Economia, sociedad y agricultura en el valle del Huallaga 1930-2000","2001-12-20",324
2,"Articulo cientifico","Determinacion in vitro de la actividad antimicrobiana del extracto de sacha culantro (Eryngium foetidum)","2001-12-20",433
2,"Articulo cientifico","Desarrollo de un modelo de solucion para la ecuacion del calor mediante series de Fourier.","2001-12-20",431
NULL,NULL,"El diamante de la competitividad sus factores determinantes para la provincia de Leoncio Prado.","2001-12-03",3091
2,"Articulo cientifico","Caracterizacion nutricional y evaluacion de 4 ecotipos de Maca (Lepidium meyenil Walp).","2001-11-05",1388
NULL,NULL,"Estudio de cuatro densidades de siembra en dos cultivares de cocona (Solanum topiro H.B.K.) en Tingo Maria.","2001-10-25",3274
NULL,NULL,"Cuatro tipos de soportes y dos densidades de siembra en frijol () Var. ""Huallaguino"" en Tingo Maria.","2001-10-25",3265
NULL,NULL,"Manejo post cosecha de tres variedades de platano: palillo, isla y seda; para su comercializacion en el mercado nacional.","2001-10-07",593
NULL,NULL,"Actividad antioxidante del maiz (Zea mays) morado: Efecto del pH y la temperatura en modelos de bebida.","2001-10-07",591
1,"Tesis","La politica tributaria y los costos de capital como barrera que impiden el desarrollo de los principales contribuyentes en Tingo Maria.","2001-10-05",2947
NULL,NULL,"Influencia del numero de estacas por golpe con cuatro distancimientos diferentes en la produccion de yuca (Manihot esculenta Var. CRAC) en Tingo Maria","2001-10-01",1165
2,"Articulo cientifico","Estudio fitoquimico y ensayo preliminar para la extraccion de aceite de Sacha Inchi (Plukenetia volubilis L.)","2001-09-19",442
2,"Articulo cientifico","Influencia del Marketing en el desarrollo de las empresas agroindustriales de Tingo Maria.","2001-09-17",44
